district,station_name,latitude,longitude,pole_height,electric_progress,electric_main,ground_progress,ground_ac,ground_equip,feeder_progress,yagi_no,sn,feed_distance,tower_progress,radio_progress,radio_sn,battery_sn,rssi,remark,start_date,end_date,mount_type,angle,test_feeder,meter_request
ห้วยกระเจา,หมู่ที่ 1 หนองมะเขือ,14.359956,99.67207,18 เมตร,100,70,100,0.85,0.88,100,180,CC00116997-1-180,50,100,100,26112A0589,TTDC16SJ061907,-65,,2026-03-17,2026-03-19,C,20,ยังไม่ได้เก็บ,ยังไม่ได้ยื่น
ห้วยกระเจา,หมู่ที่ 2 วังมะค่า,14.358156,99.663729,9 เมตร,100,40,100,1.9,4.3,100,181,CC00116997-1-181,22,100,0,0,0,-,-,2026-03-23,2026-03-24,B,15,ยังไม่ได้เก็บ,ยังไม่ได้ยื่น
ห้วยกระเจา,หมู่ 11 วังสมบูรณ์,14.379446,99.647717,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 5 นาใหม่,14.391267,99.692071,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 7 หนองมะสังข์,14.376795,99.65356,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 4 วังไผ่,14.361925,99.689,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 3 นาตามิ่ง,14.376531,99.675022,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 6 หนองตายอด,14.373447,99.644687,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 9 บ่อทอง,14.408834,99.644617,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 10 หนองโก,14.39692,99.66664,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 6 ห้วยลึก,14.391364,99.746643,9 เมตร,100,60,100,2.35,1.5,100,176,CC00116997-1-176,20,100,0,-,-,-,,2026-03-20,2026-03-22,B,350,ยังไม่ได้เก็บ,ยังไม่ได้ยื่น
ห้วยกระเจา,หมู่ 9 ดงรัง,14.376645,99.738811,9 เมตร,90,35,100,2.13,1.75,90,159,CC00116997-1-159,25,100,0,,,,,2026-03-24,,B,344,ยังไม่ได้เก็บ,ยังไม่ได้ยื่น
ห้วยกระเจา,หมู่ 12 กรอกตาโพธิ์,14.374583,99.736028,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 13 หนองปลอดภัย,14.365303,99.727408,9 เมตร,,,,,,,,,,,,,,,,,,,,,
ห้วยกระเจา,หมู่ 7 หนองเจริญสุข,14.365251,99.716418,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 3 ตลุงเหนือ,14.42194,99.727545,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 9 เหียงงาม,14.405996,99.741984,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 5 หนองปรือ,14.435006,99.735956,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 11 หนองตาเกิด,14.448948,99.723167,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 6 น้ำโจน,14.481615,99.745157,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 8 ชัฎดงพลับ,14.625292,99.652235,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 13 หนองจิกน้ำดำ,14.601033,99.615861,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 6 สี่กั๊ก,14.588587,99.638117,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 7 หนองปลิง,14.567454,99.634531,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 4 หนองจั่น,14.532685,99.649881,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 9 หนองข่อย,14.51521,99.633163,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 2 หนองเค็ด,14.477975,99.653895,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 5 หนองขบ,14.494988,99.673001,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 10 หนองมะสังข์,14.486867,99.695016,9 เมตร,,,,,,,,,,,,,,,,,,,,,
เลาขวัญ,หมู่ 8 หนองแกแดง,14.446396,99.667616,9 เมตร,,,,,,,,,,,,,,,,,,,,,
