อำเภอ,ชื่อสถานีลูกข่าย,basetype,Type,ความคืบหน้าฐานราก (%),งานติดตั้งเสา (%),lat,lon,ความสูงเสา,วันที่เริ่มงาน,วันที่เสร็จงาน,หมายเหตุ
ห้วยกระเจา,หมู่ที่ 2 วังมะค่า,แผ่,C,100,90,14.358156,99.663729,9 เมตร,10-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 11 วังสมบูรณ์,แผ่,C,100,90,14.379446,99.647717,9 เมตร,03-03-26,,เหลือเก็บงาน 100%
ห้วยกระเจา,หมู่ 5 นาใหม่,แผ่,C,100,90,14.391267,99.692071,9 เมตร,01-03-26,,เหลือเก็บงาน 100%
ห้วยกระเจา,หมู่ 7 หนองมะสังข์,แผ่,C,100,90,14.376795,99.65356,9 เมตร,03-03-26,,เหลือเก็บงาน 100%
ห้วยกระเจา,หมู่ 4 วังไผ่,แผ่,B,100,90,14.361925,99.689,9 เมตร,10-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 3 นาตามิ่ง,แผ่,B,100,90,14.376531,99.675022,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 6 หนองตายอด,แผ่,C,100,90,14.373447,99.644687,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 9 บ่อทอง,แผ่,C,100,90,14.408834,99.644617,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 10 หนองโก,แผ่,C,100,90,14.39692,99.66664,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 6 ห้วยลึก,แผ่,C,100,100,14.391364,99.746643,9 เมตร,11-02-26,17-03-26,TW GND 3*3m. = 3.69Ω
ห้วยกระเจา,หมู่ 9 ดงรัง,แผ่,B,100,100,14.376645,99.738811,9 เมตร,11-02-26,23-03-26,TW GND 3*3m. = 1.48Ω
ห้วยกระเจา,หมู่ 12 กรอกตาโพธิ์,แผ่,B,100,100,14.374583,99.736028,9 เมตร,11-02-26,17-03-26,TW GND 3*3m. = 1.84Ω
ห้วยกระเจา,หมู่ 13 หนองปลอดภัย,แผ่,C,100,90,14.365303,99.727408,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
ห้วยกระเจา,หมู่ 7 หนองเจริญสุข,แผ่,B,100,90,14.365251,99.716418,9 เมตร,11-02-26,,เหลือแค่เก็บงาน 100%
เลาขวัญ,หมู่ 3 ตลุงเหนือ,แผ่,B,100,90,14.42194,99.727545,9 เมตร,18-02-26,,เหลือแค่เก็บงาน 100%
เลาขวัญ,หมู่ 9 เหียงงาม,แผ่,C,100,100,14.405996,99.741984,9 เมตร,18-02-26,17-03-26,TW GND 3*3m. = 3.37Ω
เลาขวัญ,หมู่ 5 หนองปรือ,แผ่,C,100,90,14.435006,99.735956,9 เมตร,18-02-26,,เหลือแค่เก็บงาน 100%
เลาขวัญ,หมู่ 11 หนองตาเกิด,แผ่,B,100,90,14.448948,99.723167,9 เมตร,18-02-26,,เหลือแค่เก็บงาน 100%
เลาขวัญ,หมู่ 6 น้ำโจน,แผ่,C,100,90,14.481615,99.745157,9 เมตร,18-02-26,,เหลือแค่เก็บงาน 100%
เลาขวัญ,หมู่ 8 ชัฎดงพลับ,แผ่,C,100,100,14.625292,99.652235,9 เมตร,27-02-26,24-03-26,TW GND 3*3m. = 1.72Ω
เลาขวัญ,หมู่ 13 หนองจิกน้ำดำ,แผ่,C,100,100,14.601033,99.615861,9 เมตร,27-02-26,24-03-26,TW GND 3*3m. = 3.30Ω
เลาขวัญ,หมู่ 6 สี่กั๊ก,แผ่,C,100,100,14.588587,99.638117,9 เมตร,27-02-26,24-03-26,TW GND 3*3m. = 1.44Ω
เลาขวัญ,หมู่ 7 หนองปลิง,แผ่,C,100,100,14.567454,99.634531,9 เมตร,27-02-26,25-03-26,TW GND 3*3m. = 3.40Ω
เลาขวัญ,หมู่ 4 หนองจั่น,แผ่,C,100,100,14.532685,99.649881,9 เมตร,27-02-26,25-03-26,TW GND 3*3m. = 2.91Ω
เลาขวัญ,หมู่ 9 หนองข่อย,แผ่,C,100,100,14.51521,99.633163,9 เมตร,27-02-26,25-03-26,TW GND 3*3m. = 1.35Ω
เลาขวัญ,หมู่ 2 หนองเค็ด,แผ่,C,100,80,14.477975,99.653895,9 เมตร,01-02-26,,เหลือแค่ติดตั้งเสา 9m และเก็บงาน 100%
เลาขวัญ,หมู่ 5 หนองขบ,แผ่,C,100,70,14.494988,99.673001,9 เมตร,01-02-26,,เหลือแค่ติดตั้งเสา 9m และเก็บงาน 100%
เลาขวัญ,หมู่ 10 หนองมะสังข์,แผ่,C,100,70,14.486867,99.695016,9 เมตร,01-02-26,,เหลือแค่ติดตั้งเสา 9m และเก็บงาน 100%
เลาขวัญ,หมู่ 8 หนองแกแดง,แผ่,C,100,80,14.446396,99.667616,9 เมตร,01-02-26,,เหลือเก็บงาน 100%
เชียรใหญ่,หมู่ ๙ บางปรง,เข็ม,A,95,60,8.193024,100.250653,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๑ ขนาบนาก,เข็ม,A,100,60,8.210403,100.232902,9 เมตร,19-02-26,,
ปากพนัง,หมู่ ๒ ป่าขลู,เข็ม,A,95,60,8.209216,100.237001,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๓ บางวุ่น,เข็ม,A,100,50,8.220893,100.24149,9 เมตร,19-02-26,,
ปากพนัง,หมู่ ๕ ปากช่อง,เข็ม,A,95,60,8.208309,100.251279,9 เมตร,17-02-26,,
ปากพนัง,หมู่ ๔ ท่านา,เข็ม,A,95,50,8.222903,100.245957,9 เมตร,17-02-26,,
ปากพนัง,หมู่ ๗ สระศรีเมือง,เข็ม,A,95,50,8.223698,100.260198,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๑๐ หัวดอน,เข็ม,A,95,50,8.235181,100.2794,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๖ บางมะขาม,เข็ม,A,95,60,8.206482,100.263253,9 เมตร,17-02-26,,
ปากพนัง,หมู่ ๘ บางตะลุมพอ,เข็ม,A,100,80,8.194579,100.257889,9 เมตร,17-02-26,,
ปากพนัง,หมู่ ๙ น้ำทรัพย์,เข็ม,A,100,80,8.185152,100.28777,9 เมตร,17-02-26,,
ปากพนัง,หมู่ ๗ เกาะทัง,เข็ม,A,95,50,8.25945,100.26351,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๑๐ ริมเขื่อน,เข็ม,A,95,50,8.240806,100.268612,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๔ เสือร้อง,เข็ม,A,95,60,8.21007,100.211305,9 เมตร,19-02-26,,
ปากพนัง,หมู่ ๓ บางพระ,เข็ม,A,100,60,8.201472,100.217994,9 เมตร,18-02-26,,
ปากพนัง,หมู่ ๒ นานอก,เข็ม,A,95,50,8.220043,100.218995,9 เมตร,17-02-26,,
